X.SampleID	1	2	3	4	5	6
11116.I26A081.1194014	0.17222802	-0.104325965	0.25466254	-0.06947188	0.53007275	-0.1397108
11116.I12A102.1198027	0.07562839	-0.08071388	-0.56278145	-0.40056118	0.08442299	0.5265595
11116.L31A090.1196724	-0.059954856	-0.23005567	-0.41597497	-0.48793244	0.10722831	0.25433365
11116.I24A118.1197344	0.35082954	-0.18290123	-0.26080495	-0.48416924	-0.0542502	0.46305186
11116.A21B067.1197361	-0.040835727	0.3682895	0.30067515	-0.5849365	-0.38579643	0.117749244
11116.I07A085.1198029	0.026817162	-0.2073167	-0.30557716	-0.43120402	0.33631378	0.18977535
11116.I31A103.1197001	0.07045902	-0.30441666	-0.4496863	-0.3469354	0.29305947	0.22739662
11116.A05A067.1197058	-0.026203547	0.2431391	0.18706532	-0.51744497	-0.3085287	0.19005929
11116.U473A61.1196997	0.32430217	-0.22297725	-0.5192196	-0.10542119	0.23720594	0.08718486
11116.C09A65.1194371	0.22947676	-0.13250087	-0.5187513	-0.20385276	0.18047792	0.14689948
11116.L07A077.1194039	-0.005162878	-0.20597692	0.35742518	-0.26287198	0.067544326	-0.0820511
11116.I05A076.1195402	0.16470966	-0.3347016	0.49564564	0.1450341	0.5044922	-0.30371708
11116.I07A104.1196389	-0.0015032428	-0.16872351	-0.4832432	-0.45840058	0.18026255	0.33975405
11116.A09D082.1195664	0.098531626	0.15865612	-0.18021686	-0.5768797	-0.0004576481	0.37943706
11116.L26A091.1197738	0.019406086	-0.18845838	-0.45197237	-0.4322382	0.12772587	0.19144273
11116.I10A105.1197184	0.087021425	-0.3025638	-0.41083157	-0.23815612	0.39738494	0.1586239
11116.I23A091.1194756	0.11421009	-0.22248499	-0.37102118	-0.41037107	0.34084412	0.2597635
11116.L24A102.1196562	0.1353384	-0.34314635	-0.44857463	-0.47310838	-0.0065431288	0.45249596
11116.L03A091.1196634	0.0043753698	-0.17370093	-0.45224485	-0.44393718	0.08537476	0.16938104
11116.L24A119.1195908	0.57843643	-0.29231516	-0.31468403	-0.4346813	-0.13352431	0.5479345
11116.L04A070.1195935	0.21497147	-0.3384581	0.5470231	-0.29179275	0.068014465	-0.08116462
11116.C12A63.1195641	0.090019606	-0.19412917	-0.4197459	-0.3329341	0.12846616	0.035973247
11116.I19A102.1197590	-0.017905615	-0.10260384	-0.55252135	-0.5134547	0.069458656	0.48145822
11116.L01A087.1197168	0.013557139	-0.24281043	-0.21765862	-0.57271224	-0.012531671	0.05433195
11116.L06A100.1194511	0.26069987	-0.3329432	-0.39658523	-0.5344949	-0.05637675	0.4213002
11116.U497A63.1195824	0.33105895	-0.19361371	-0.5266851	-0.106169514	0.24219736	0.12938611
11116.I25A119.1198455	0.23381528	-0.4314799	-0.35399976	-0.35750926	0.10344073	0.35259277
11116.A15D079.1195052	0.21790193	0.29626283	0.21931407	-0.5497334	-0.04924441	0.2193608
11116.I03A065.1194028	-0.3608903	-0.3746939	-0.022959018	0.43940774	0.29465073	-0.5802348
11116.L20A072.1197129	-0.010823124	-0.46864876	0.51988786	-0.46796137	0.19962761	0.1719644
11116.L25A090.1197313	-0.016487919	-0.16706835	-0.37090155	-0.45621556	0.071148135	0.10469226
