X.SampleID	1	2	3	4	5	6
11116.A09C064.1193798	-0.5392633	0.52151316	0.038345307	0.08989197	-0.26790693	-0.49975958
11116.A05A088.1196516	-0.03629798	0.0029561578	-0.48939222	-0.55184335	0.058675095	0.5100119
11116.L30A100.1195675	0.1511409	-0.27437997	-0.41026065	-0.48067465	-0.0070207817	0.48776776
11116.L25A066.1194296	-0.52662736	-0.4630312	0.121049084	-0.040754996	0.02413051	-0.5260514
11116.A14B073.1195558	-0.054626312	0.5269144	0.30775362	-0.40466005	-0.04161124	-0.010990295
11116.A12B085.1198210	0.023037603	-0.07419467	-0.43789425	-0.5411893	0.09007571	0.529368
11116.A02B073.1196026	-0.07088677	0.48895738	0.33159876	-0.3985093	-0.02008842	0.011736092
11116.I27A068.1193675	0.23990268	-0.53661937	0.120139055	0.09098566	0.32986632	0.007096827
11116.I09A083.1196037	0.16126958	-0.09602731	-0.0460951	-0.49063584	0.2939216	0.05682182
11116.A29A082.1193821	0.115945354	-0.06493803	-0.24542105	-0.59415376	0.10085832	0.45472592
11116.L06A065.1195531	-0.52149403	-0.46500242	0.106684074	-0.060624868	0.025513962	-0.51188934
11116.L29A086.1194563	-0.071159825	-0.21819696	-0.42595777	-0.51809615	0.10974708	0.21594617
11116.L22A068.1193738	-0.11752499	-0.40213072	0.098098576	-0.31184924	0.027174	0.1398677
11116.I13A087.1193694	0.053141415	-0.053388044	-0.26564258	-0.48980457	0.23511821	0.16473168
11116.L25A079.1194278	0.38419157	-0.13794284	0.150137	-0.5414835	0.020039905	0.15844591
11116.I23A090.1195576	0.002596983	-0.03860751	-0.36351964	-0.48146003	0.20355366	0.236937
11116.A06B070.1198022	0.00644292	0.44522157	0.32241488	-0.4890881	-0.17641363	0.22911713
11116.A29B079.1195428	0.069943696	0.29139787	0.14462243	-0.5207758	0.04348846	0.15130013
11116.L18A101.1195895	0.15280212	-0.2738781	-0.41379517	-0.4863399	-0.010975344	0.4877577
11116.L28A102.1196533	0.1716813	-0.27699015	-0.41446543	-0.47325885	-0.0074202316	0.49630716
11116.L07A070.1198122	0.15099022	-0.45135924	0.48896012	-0.44377458	0.044700604	0.17675702
11116.I26A081.1194014	0.23151141	-0.16634774	0.3121101	-0.009065968	0.449114	-0.08749141
11116.I12A102.1198027	0.058976285	-0.15826964	-0.36930254	-0.42839444	0.13215917	0.33514926
11116.L31A090.1196724	-0.026735086	-0.188127	-0.416696	-0.5103489	0.07743044	0.17434494
11116.I24A118.1197344	0.22075047	-0.24362062	-0.32693157	-0.45976636	0.028014233	0.43178254
11116.A21B067.1197361	0.012156527	0.3092886	0.25180566	-0.5114701	-0.22854263	0.21201332
11116.I07A085.1198029	0.05666377	-0.075077035	-0.26506785	-0.4675985	0.25725514	0.14089909
11116.I31A103.1197001	0.033447523	-0.18646887	-0.38105822	-0.3289251	0.32933632	0.13607903
11116.A05A067.1197058	-0.0063268435	0.27008927	0.2244969	-0.42956263	-0.1992302	0.12306463
11116.U473A61.1196997	0.11309739	-0.18246536	-0.4675056	-0.27121052	0.13973165	0.17117819
11116.C09A65.1194371	0.10275214	-0.16234884	-0.45769525	-0.30026165	0.12712952	0.14813153
11116.L07A077.1194039	-0.046933223	-0.22884247	0.36934885	-0.24345595	0.112434044	-0.13333833
11116.I05A076.1195402	0.19726603	-0.33835387	0.39630654	0.16105609	0.54065144	-0.119126625
11116.I07A104.1196389	-0.01946354	-0.05332584	-0.4293378	-0.45653614	0.19985333	0.27574295
11116.A09D082.1195664	0.09308265	-0.042242926	-0.23426038	-0.60355115	0.09614278	0.4378838
11116.L26A091.1197738	0.021498078	-0.17818213	-0.44106108	-0.4231025	0.11258535	0.17079659
11116.I10A105.1197184	0.03304516	-0.18504725	-0.38251954	-0.33019292	0.32700053	0.13922915
11116.I23A091.1194756	0.022666933	-0.06706857	-0.33580327	-0.4582305	0.23909046	0.18790403
11116.L24A102.1196562	0.18159574	-0.27725264	-0.4182136	-0.47353688	-0.010498323	0.49911866
11116.L03A091.1196634	0.027837038	-0.174574	-0.44076726	-0.41699442	0.11098719	0.16567412
11116.L24A119.1195908	0.5272467	-0.2859055	-0.35304692	-0.4169266	-0.14435929	0.5355007
11116.L04A070.1195935	0.13976769	-0.4469782	0.4812679	-0.43748054	0.05302151	0.17764692
11116.C12A63.1195641	0.104630105	-0.16406754	-0.45655692	-0.2992309	0.12564798	0.14836898
11116.I19A102.1197590	0.039833136	-0.11359872	-0.39054117	-0.49369755	0.05397255	0.42449275
11116.L01A087.1197168	-0.025008766	-0.19682924	-0.43074578	-0.48077685	0.105458945	0.19151248
11116.L06A100.1194511	0.1716813	-0.27699015	-0.41446543	-0.47325885	-0.0074202316	0.49630716
11116.U497A63.1195824	0.117202275	-0.1845626	-0.47105956	-0.26024392	0.14393637	0.17465746
11116.I25A119.1198455	0.29552332	-0.31852943	-0.24833146	-0.48879263	0.02344154	0.40564677
11116.A15D079.1195052	0.06144241	0.301253	0.14896393	-0.5224409	0.038315117	0.1488221
11116.I03A065.1194028	-0.25093395	-0.39306617	-0.10817172	0.44291237	0.29042453	-0.5870207
11116.L20A072.1197129	0.064742595	-0.46196583	0.45220393	-0.4095494	0.043950137	0.10772943
11116.L25A090.1197313	0.030755276	-0.16489486	-0.41167733	-0.45709234	0.07749549	0.14345321
11116.A27B082.1195286	0.11180978	-0.051899645	-0.2492898	-0.5941427	0.100424424	0.44306824
11116.I28A083.1196054	0.16375566	-0.119056545	-0.040774364	-0.4720654	0.31633985	0.03198188
11116.I29A120.1196473	0.26306283	-0.29091135	-0.28485557	-0.46370608	0.035504542	0.40943712
11116.L17A098.1196170	0.10844788	-0.14091118	-0.363945	-0.4249441	0.048574265	0.09613303
11116.I06A086.1197790	0.071671	-0.13568918	-0.25526765	-0.40739205	0.31469208	0.07998726
11116.A05B064.1196973	-0.5587371	0.58801436	0.05373429	0.05184314	-0.31609264	-0.5014213
