"id"	"tr1_mse"	"tr1_smape"	"tr2_mse"	"tr2_smape"	"diff_mse"	"diff_smape"	"group_mse"	"group_smape"	"elevation"	"AGE"	"Temperature"	"Precipitation3Days"	"INBREDS"	"Maize_Line"	"def_mse"	"def_smape"
"11116.A19D085.1198367"	"0.000321165345299442"	"93.4141588810699"	"0.000763329955126395"	"97.38750146064"	"-4.421646e-04"	" -3.973342580"	"better"	"better"	"125.86"	"9"	"71.2"	"0.03"	"Oh43"	"Non_Stiff_Stalk"	"0.00091210819240581"	"94.1364319435691"
"11116.A20A082.1197310"	"0.000507091990420448"	"89.4971725393469"	"0.000924258234808433"	"94.8572993987179"	"-4.171662e-04"	" -5.360126859"	"better"	"better"	"125.86"	"8"	"73.2"	"0.09"	"Hp301"	"Popcorn"	"0.000955604390858174"	"93.9379861216043"
"11116.A20B079.1197216"	"0.00247008915577242"	"60.9790745056933"	"0.0038061296156352"	"64.8382978594009"	"-1.336040e-03"	" -3.859223354"	"better"	"better"	"125.86"	"7"	"80"	"0"	"NC358"	"Tropical"	"0.00483424513587301"	"59.73925483287"
"11116.A20C118.1193655"	"0.00152941668360738"	"66.9027436754332"	"0.00191919157677037"	"81.2810130402726"	"-3.897749e-04"	"-14.378269365"	"better"	"better"	"125.86"	"20"	"49.4"	"0.63"	"Hp301"	"Popcorn"	"0.00164921047428902"	"58.0543239276999"
"11116.A21B067.1197361"	"0.000951571703996076"	"53.4990964542141"	"0.00168502857261103"	"59.7302756176657"	"-7.334569e-04"	" -6.231179163"	"better"	"better"	"125.86"	"3"	"54.5"	"0.91"	"Oh7B"	"Non_Stiff_Stalk"	"0.00239227458858276"	"56.4364861298882"
"11116.A21B079.1197864"	"0.00132029532209402"	"76.6626188536229"	"0.00169737077864756"	"77.944851888386"	"-3.770755e-04"	" -1.282233035"	"better"	"better"	"125.86"	"7"	"80"	"0"	"Oh7B"	"Non_Stiff_Stalk"	"0.00295493589267395"	"75.8469584904469"
"11116.A21B097.1198404"	"4.99753181418121e-06"	"76.9221659338303"	"0.000208161207734205"	"89.1655198993497"	"-2.031637e-04"	"-12.243353966"	"better"	"better"	"125.86"	"13"	"68.3"	"0.07"	"Oh7B"	"Non_Stiff_Stalk"	"0.000950523292006309"	"91.8241648079774"
"11116.A21B118.1194094"	"0.00139416566369557"	"64.4202818742684"	"0.00168710312217786"	"69.5628428991497"	"-2.929375e-04"	" -5.142561025"	"better"	"better"	"125.86"	"20"	"49.4"	"0.63"	"Oh7B"	"Non_Stiff_Stalk"	"0.00204905307035661"	"75.3069307112136"
"11116.A22C070.1193629"	"0.00457261974302473"	"59.6319911042576"	"0.00546568173734605"	"63.0301194757047"	"-8.930620e-04"	" -3.398128371"	"better"	"better"	"125.86"	"4"	"64.8"	"0.4"	"Oh7B"	"Non_Stiff_Stalk"	"0.00895805308186498"	"63.8676478506543"
"11116.A22C073.1195569"	"0.00336379795459651"	"61.8996878458544"	"0.00331066792395436"	"67.8590034297123"	" 5.313003e-05"	" -5.959315584"	"similar"	"better"	"125.86"	"5"	"67.7"	"0.07"	"Oh7B"	"Non_Stiff_Stalk"	"0.00447870931613656"	"62.7454932213258"
"11116.A22C082.1194985"	"0.000109171371011487"	"87.122352471219"	"0.00135655687293593"	"96.6045755929626"	"-1.247386e-03"	" -9.482223122"	"better"	"better"	"125.86"	"8"	"73.2"	"0.09"	"Oh7B"	"Non_Stiff_Stalk"	"0.0011564793681069"	"92.5752435485"
"11116.A22C088.1195279"	"0.000372234816609696"	"84.296023462013"	"0.00120587525106172"	"92.9846119723958"	"-8.336404e-04"	" -8.688588510"	"better"	"better"	"125.86"	"10"	"69.5"	"0.12"	"Oh7B"	"Non_Stiff_Stalk"	"0.00177081979545617"	"89.6832904956145"
"11116.A22D070.1193862"	"0.00216798473939236"	"73.4911436269138"	"0.00392048866069786"	"76.5420331196282"	"-1.752504e-03"	" -3.050889493"	"better"	"better"	"125.86"	"4"	"64.8"	"0.4"	"CML322"	"Tropical"	"0.00380418334972235"	"70.2967254829421"
"11116.A22D085.1194910"	"0.000411114285732052"	"87.443871184981"	"0.00062143228617497"	"93.4938937759016"	"-2.103180e-04"	" -6.050022591"	"better"	"better"	"125.86"	"9"	"71.2"	"0.03"	"CML247"	"Tropical"	"0.000937944585188929"	"91.2942438758411"
"11116.A23A091.1194129"	"0.000188757695900148"	"95.6800949947446"	"0.000291783124703665"	"97.2466554545238"	"-1.030254e-04"	" -1.566560460"	"better"	"better"	"125.86"	"11"	"76.2"	"0.21"	"B73"	"Stiff_Stalk"	"0.000980701379873766"	"95.6147243877829"
"11116.A23B070.1197945"	"0.00255186520882166"	"65.0548429854706"	"0.00569513686790553"	"70.6431296093224"	"-3.143272e-03"	" -5.588286624"	"better"	"better"	"125.86"	"4"	"64.8"	"0.4"	"B73"	"Stiff_Stalk"	"0.00616146644562478"	"64.9505285199715"
