"id"	"tr1_mse"	"tr1_smape"	"tr2_mse"	"tr2_smape"	"diff_mse"	"diff_smape"	"group_mse"	"group_smape"	"Rank1"	"Rank2"	"Rank3"	"Rank4"	"Rank5"	"Rank6"	"Rank7"	"def_mse"	"def_smape"
"811424"	"0.00540870174958461"	"50.2559809827558"	"0.0065102918159992"	"60.1812810180018"	-0.00110159006641459	-9.925300035246	"better"	"better"	"k__Bacteria"	"p__Verrucomicrobia"	"c__Opitutae"	"o__Opitutales"	"f__Opitutaceae"	"g__"	"s__"	"0.00748179131999395"	"64.726844526895"
"811435"	"7.88852258929999e-06"	"62.7054734200697"	"1.25877936658711e-05"	"69.14322957351"	-4.69927107657111e-06	-6.4377561534403	"similar"	"better"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"f__"	"g__"	"s__"	"1.32805857047244e-05"	"71.0971308142122"
"811449"	"1.52706159423665e-05"	"74.3268800877782"	"1.55225573295716e-05"	"75.586708900147"	-2.51941387205102e-07	-1.2598288123688	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Caulobacterales"	"f__Caulobacteraceae"	"g__"	"s__"	"1.7540503378971e-05"	"77.2969832528031"
"812105"	"0.00155585710630088"	"59.3161522436563"	"0.00172724272419237"	"65.3502407888571"	-0.00017138561789149	-6.03408854520081	"better"	"better"	"k__Bacteria"	"p__WS3"	"c__PRR-12"	"o__Sediment-1"	"f__PRR-10"	"g__"	"s__"	"0.00210874210364469"	"73.1223009443649"
"812809"	"1.22112241922107e-05"	"77.7388634719052"	"1.92454481611821e-05"	"80.8271109004151"	-7.0342239689714e-06	-3.08824742850989	"similar"	"better"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-5"	"o__"	"f__"	"g__"	"s__"	"2.44430650823611e-05"	"83.7548460209735"
"813418"	"2.86919837283529e-06"	"82.8537844514931"	"2.88913389434376e-06"	"87.0130603867347"	-1.99355215084701e-08	-4.1592759352416	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__"	"s__"	"2.87880767177285e-06"	"85.455490389513"
"813885"	"2.06294542242215e-07"	"99.9253191076372"	"2.08190671802634e-07"	"99.943538920502"	-1.89612956041902e-09	-0.0182198128647997	"similar"	"similar"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__MND1"	"f__"	"g__"	"s__"	"1.82568412988127e-08"	"99.9929595491873"
"813938"	"2.23067832067434e-07"	"98.0552585037009"	"2.19415743652915e-07"	"98.3404380542019"	3.65208841451901e-09	-0.285179550500999	"similar"	"similar"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__Kaistobacter"	"s__"	"3.21727567523597e-08"	"99.3849632075245"
"814232"	"1.78811549163426e-07"	"100"	"1.91187530686048e-07"	"100"	-1.2375981522622e-08	0	"similar"	"similar"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"f__"	"g__"	"s__"	"0"	"0"
"814282"	"2.52218393889399e-05"	"73.1353626212007"	"2.65070895419871e-05"	"75.2174622014334"	-1.2852501530472e-06	-2.08209958023271	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Erythrobacteraceae"	"g__"	"s__"	"2.69216330501037e-05"	"75.1394324064033"
"814295"	"8.54986983997336e-05"	"59.7488118348914"	"0.000180939242692143"	"67.9894649610362"	-9.54405442924094e-05	-8.24065312614481	"similar"	"better"	"k__Bacteria"	"p__Acidobacteria"	"c__[Chloracidobacteria]"	"o__RB41"	"f__Ellin6075"	"g__"	"s__"	"0.000241666826851215"	"72.5958143638432"
"815305"	"2.20910158857321e-07"	"99.1023514280133"	"1.94535530784846e-07"	"99.1923173362829"	2.6374628072475e-08	-0.0899659082695905	"similar"	"similar"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Pseudonocardiaceae"	"g__Pseudonocardia"	"s__"	"5.6910094928604e-09"	"99.8850432992392"
"816291"	"0.000439387543040281"	"50.1620169359978"	"0.000477758399932479"	"54.1478170806319"	-3.8370856892198e-05	-3.9858001446341	"similar"	"better"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Gaiellales"	"f__Gaiellaceae"	"g__"	"s__"	"0.00108637526198829"	"64.3102174089669"
"816441"	"0.00301906308354226"	"71.8695963547858"	"0.00374046149914673"	"72.6109041996583"	-0.00072139841560447	-0.741307844872495	"better"	"similar"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Sinobacteraceae"	"g__Steroidobacter"	"s__"	"0.00390131810879005"	"77.0783699964609"
"816631"	"4.89441519733274e-06"	"74.7649244933761"	"6.33808778061769e-06"	"81.9605328010382"	-1.44367258328495e-06	-7.1956083076621	"similar"	"better"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"f__"	"g__"	"s__"	"6.16755499926667e-06"	"80.9316476039571"
"817349"	"4.51285915491574e-07"	"99.613902676238"	"3.99741788823261e-07"	"99.6522340276992"	5.1544126668313e-08	-0.0383313514611956	"similar"	"similar"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Acidithiobacillales"	"f__"	"g__"	"s__"	"2.22357384904238e-07"	"99.883944605722"
"818174"	"0.00049359996802723"	"72.2172331218315"	"0.000581350066655342"	"75.5833068298978"	-8.77500986281119e-05	-3.3660737080663	"similar"	"better"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Saprospiraceae"	"g__"	"s__"	"0.000673162556629313"	"78.8305000636052"
"818282"	"5.84753489382224e-06"	"78.9053973959189"	"7.78721489334056e-06"	"84.2167676895205"	-1.93967999951832e-06	-5.3113702936016	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__SC-I-84"	"f__"	"g__"	"s__"	"7.61549326660086e-06"	"82.9108153945272"
"819037"	"0.000125921253952104"	"56.6602505419118"	"0.000131787736226756"	"62.4577021411848"	-5.866482274652e-06	-5.797451599273	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Comamonadaceae"	"g__Variovorax"	"s__paradoxus"	"0.000136321393951495"	"63.350497906907"
"819681"	"1.50992178787957e-05"	"68.8963781455785"	"3.31463332177096e-05"	"72.4941017841949"	-1.80471153389139e-05	-3.5977236386164	"similar"	"better"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Gaiellales"	"f__Gaiellaceae"	"g__"	"s__"	"4.32965429850421e-05"	"77.0551270713022"
"819893"	"1.33110765082096e-05"	"81.2620906806249"	"1.90970246567963e-05"	"83.7443931119762"	-5.7859481485867e-06	-2.4823024313513	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__SC-I-84"	"f__"	"g__"	"s__"	"1.81857576274886e-05"	"82.8269247179985"
"820086"	"4.15392353508254e-06"	"95.0759594556143"	"4.17104471584985e-06"	"94.9654844383686"	-1.71211807673106e-08	0.11047501724569	"similar"	"similar"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__"	"s__"	"4.16500554715354e-06"	"95.5367672193655"
